index,f2,f3,f4,tplh1,tphl1,tp1,tplh2,tphl2,tp2,tplh3,tphl3,tp3,tplh4,tphl4,tp4,tp_total,temper,alter#
1,4,16,64,9.125E-12,8.113E-12,8.619E-12,6.987E-12,6.585E-12,6.786E-12,6.93E-12,6.573E-12,6.752E-12,7.279E-12,6.74E-12,7.009E-12,2.917E-11,25,1
2,4,15,60,9.114E-12,8.1E-12,8.607E-12,6.741E-12,6.355E-12,6.548E-12,6.828E-12,6.459E-12,6.644E-12,7.556E-12,6.985E-12,7.271E-12,2.907E-11,25,1
3,4,20,80,9.103E-12,8.1E-12,8.602E-12,7.975E-12,7.503E-12,7.739E-12,7.365E-12,7.01E-12,7.188E-12,6.468E-12,5.995E-12,6.232E-12,2.976E-11,25,1
4,5,16,64,1.03E-11,9.197E-12,9.749E-12,6.463E-12,6.096E-12,6.279E-12,6.685E-12,6.269E-12,6.477E-12,7.217E-12,6.7E-12,6.958E-12,2.946E-11,25,1
5,5,15,60,1.029E-11,9.218E-12,9.753E-12,6.248E-12,5.893E-12,6.071E-12,6.595E-12,6.175E-12,6.385E-12,7.504E-12,6.952E-12,7.228E-12,2.944E-11,25,1
6,5,20,80,1.025E-11,9.197E-12,9.723E-12,7.283E-12,6.889E-12,7.086E-12,7.045E-12,6.637E-12,6.841E-12,6.385E-12,5.948E-12,6.166E-12,2.982E-11,25,1
