tplh,tphl,tp,temper,alter#,m
6.348e-11,4.36e-11,5.354e-11,25.0,1,0
3.559e-11,4.613e-11,4.086e-11,25.0,1,1
4.241e-11,3.322e-11,3.781e-11,25.0,1,2
3.477e-11,4.207e-11,3.842e-11,25.0,1,3
4.219e-11,3.552e-11,3.886e-11,25.0,1,4
3.687e-11,4.243e-11,3.965e-11,25.0,1,5
