index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,tplh,tphl,tp,temper,alter#
56,1.0,2.0,3.0,36.0,-9.545e-10,1.0440000000000001e-09,4.462e-11,25.0,1
57,1.0,2.0,4.0,18.0,-9.582999999999999e-10,1.038e-09,3.984000000000001e-11,25.0,1
58,1.0,2.0,4.0,21.0,-9.585e-10,1.038e-09,3.9820000000000004e-11,25.0,1
59,1.0,2.0,4.0,24.0,-9.584e-10,1.038e-09,4.005e-11,25.0,1
60,1.0,2.0,4.0,27.0,-9.581e-10,1.039e-09,4.042000000000001e-11,25.0,1
61,1.0,2.0,4.0,30.0,-9.577000000000001e-10,1.039e-09,4.0899999999999996e-11,25.0,1
62,1.0,2.0,4.0,33.0,-9.572e-10,1.04e-09,4.145e-11,25.0,1
63,1.0,2.0,4.0,36.0,-9.566000000000002e-10,1.041e-09,4.2040000000000004e-11,25.0,1
64,1.0,2.0,5.0,18.0,-9.582e-10,1.037e-09,3.964e-11,25.0,1
65,1.0,2.0,5.0,21.0,-9.586e-10,1.037e-09,3.946e-11,25.0,1
66,1.0,2.0,5.0,24.0,-9.586e-10,1.038e-09,3.9509999999999995e-11,25.0,1
67,1.0,2.0,5.0,27.0,-9.584e-10,1.038e-09,3.973e-11,25.0,1
68,1.0,2.0,5.0,30.0,-9.582e-10,1.038e-09,4.005e-11,25.0,1
69,1.0,2.0,5.0,33.0,-9.578e-10,1.039e-09,4.044e-11,25.0,1
70,1.0,2.0,5.0,36.0,-9.573999999999998e-10,1.039e-09,4.0880000000000005e-11,25.0,1
71,1.0,2.0,6.0,18.0,-9.578e-10,1.037e-09,3.981e-11,25.0,1
72,1.0,2.0,6.0,21.0,-9.582e-10,1.037e-09,3.9509999999999995e-11,25.0,1
73,1.0,2.0,6.0,24.0,-9.584e-10,1.037e-09,3.946e-11,25.0,1
74,1.0,2.0,6.0,27.0,-9.582999999999999e-10,1.037e-09,3.9560000000000003e-11,25.0,1
75,1.0,2.0,6.0,30.0,-9.581e-10,1.038e-09,3.979e-11,25.0,1
76,1.0,2.0,6.0,33.0,-9.579e-10,1.038e-09,4.007999999999999e-11,25.0,1
77,1.0,2.0,6.0,36.0,-9.575e-10,1.038e-09,4.040999999999999e-11,25.0,1
78,1.0,2.0,7.0,18.0,-9.571e-10,1.038e-09,4.019e-11,25.0,1
79,1.0,2.0,7.0,21.0,-9.577000000000001e-10,1.037e-09,3.98e-11,25.0,1
80,1.0,2.0,7.0,24.0,-9.579e-10,1.037e-09,3.966e-11,25.0,1
81,1.0,2.0,7.0,27.0,-9.579e-10,1.037e-09,3.972e-11,25.0,1
82,1.0,2.0,7.0,30.0,-9.578e-10,1.037e-09,3.985e-11,25.0,1
83,1.0,2.0,7.0,33.0,-9.575999999999999e-10,1.038e-09,4.006e-11,25.0,1
84,1.0,2.0,7.0,36.0,-9.573e-10,1.038e-09,4.0330000000000004e-11,25.0,1
85,1.0,2.0,8.0,18.0,-9.564000000000001e-10,1.038e-09,4.069e-11,25.0,1
86,1.0,2.0,8.0,21.0,-9.57e-10,1.037e-09,4.021e-11,25.0,1
87,1.0,2.0,8.0,24.0,-9.573e-10,1.037e-09,4.004e-11,25.0,1
88,1.0,2.0,8.0,27.0,-9.573e-10,1.037e-09,4.001e-11,25.0,1
89,1.0,2.0,8.0,30.0,-9.573e-10,1.037e-09,4.011e-11,25.0,1
90,1.0,2.0,8.0,33.0,-9.571e-10,1.038e-09,4.028e-11,25.0,1
91,1.0,2.0,8.0,36.0,-9.568999999999999e-10,1.038e-09,4.047999999999999e-11,25.0,1
92,1.0,2.0,9.0,18.0,-9.556e-10,1.038e-09,4.1259999999999995e-11,25.0,1
93,1.0,2.0,9.0,21.0,-9.562e-10,1.038e-09,4.0749999999999995e-11,25.0,1
94,1.0,2.0,9.0,24.0,-9.565e-10,1.038e-09,4.052e-11,25.0,1
95,1.0,2.0,9.0,27.0,-9.567e-10,1.038e-09,4.044e-11,25.0,1
96,1.0,2.0,9.0,30.0,-9.566000000000002e-10,1.038e-09,4.0499999999999996e-11,25.0,1
97,1.0,2.0,9.0,33.0,-9.565e-10,1.038e-09,4.062e-11,25.0,1
98,1.0,2.0,9.0,36.0,-9.564000000000001e-10,1.038e-09,4.078e-11,25.0,1
99,1.0,3.0,3.0,18.0,-9.534e-10,1.042e-09,4.415e-11,25.0,1
100,1.0,3.0,3.0,21.0,-9.533e-10,1.042e-09,4.4399999999999997e-11,25.0,1
101,1.0,3.0,3.0,24.0,-9.53e-10,1.043e-09,4.490999999999999e-11,25.0,1
102,1.0,3.0,3.0,27.0,-9.524e-10,1.043e-09,4.555e-11,25.0,1
103,1.0,3.0,3.0,30.0,-9.517000000000001e-10,1.0440000000000001e-09,4.628e-11,25.0,1
104,1.0,3.0,3.0,33.0,-9.510000000000001e-10,1.045e-09,4.71e-11,25.0,1
105,1.0,3.0,3.0,36.0,-9.502e-10,1.046e-09,4.7970000000000003e-11,25.0,1
106,1.0,3.0,4.0,18.0,-9.543000000000001e-10,1.04e-09,4.2950000000000004e-11,25.0,1
107,1.0,3.0,4.0,21.0,-9.545e-10,1.04e-09,4.2899999999999995e-11,25.0,1
108,1.0,3.0,4.0,24.0,-9.544e-10,1.041e-09,4.3119999999999996e-11,25.0,1
109,1.0,3.0,4.0,27.0,-9.542e-10,1.041e-09,4.349e-11,25.0,1
110,1.0,3.0,4.0,30.0,-9.538e-10,1.042e-09,4.3959999999999996e-11,25.0,1
111,1.0,3.0,4.0,33.0,-9.533e-10,1.042e-09,4.449e-11,25.0,1
112,1.0,3.0,4.0,36.0,-9.527e-10,1.043e-09,4.509e-11,25.0,1
113,1.0,3.0,5.0,18.0,-9.545e-10,1.04e-09,4.251e-11,25.0,1
114,1.0,3.0,5.0,21.0,-9.548999999999999e-10,1.04e-09,4.229999999999999e-11,25.0,1
115,1.0,3.0,5.0,24.0,-9.550000000000001e-10,1.04e-09,4.235e-11,25.0,1
116,1.0,3.0,5.0,27.0,-9.548e-10,1.04e-09,4.255e-11,25.0,1
117,1.0,3.0,5.0,30.0,-9.546e-10,1.04e-09,4.286e-11,25.0,1
118,1.0,3.0,5.0,33.0,-9.543000000000001e-10,1.041e-09,4.3229999999999996e-11,25.0,1
119,1.0,3.0,5.0,36.0,-9.539e-10,1.041e-09,4.365e-11,25.0,1
120,1.0,3.0,6.0,18.0,-9.544e-10,1.039e-09,4.2459999999999995e-11,25.0,1
121,1.0,3.0,6.0,21.0,-9.548999999999999e-10,1.039e-09,4.213000000000001e-11,25.0,1
122,1.0,3.0,6.0,24.0,-9.551e-10,1.039e-09,4.206000000000001e-11,25.0,1
123,1.0,3.0,6.0,27.0,-9.550000000000001e-10,1.039e-09,4.215e-11,25.0,1
124,1.0,3.0,6.0,30.0,-9.548999999999999e-10,1.04e-09,4.236e-11,25.0,1
125,1.0,3.0,6.0,33.0,-9.547e-10,1.04e-09,4.2620000000000004e-11,25.0,1
126,1.0,3.0,6.0,36.0,-9.544e-10,1.04e-09,4.294e-11,25.0,1
127,1.0,3.0,7.0,18.0,-9.541e-10,1.039e-09,4.261e-11,25.0,1
128,1.0,3.0,7.0,21.0,-9.546e-10,1.039e-09,4.219e-11,25.0,1
129,1.0,3.0,7.0,24.0,-9.548999999999999e-10,1.039e-09,4.204999999999999e-11,25.0,1
130,1.0,3.0,7.0,27.0,-9.548999999999999e-10,1.039e-09,4.204999999999999e-11,25.0,1
131,1.0,3.0,7.0,30.0,-9.548e-10,1.039e-09,4.219e-11,25.0,1
132,1.0,3.0,7.0,33.0,-9.547e-10,1.039e-09,4.236999999999999e-11,25.0,1
133,1.0,3.0,7.0,36.0,-9.545e-10,1.04e-09,4.2630000000000006e-11,25.0,1
134,1.0,3.0,8.0,18.0,-9.536e-10,1.039e-09,4.288e-11,25.0,1
135,1.0,3.0,8.0,21.0,-9.543000000000001e-10,1.039e-09,4.241e-11,25.0,1
136,1.0,3.0,8.0,24.0,-9.546e-10,1.039e-09,4.220000000000001e-11,25.0,1
137,1.0,3.0,8.0,27.0,-9.547e-10,1.039e-09,4.215e-11,25.0,1
138,1.0,3.0,8.0,30.0,-9.546e-10,1.039e-09,4.221e-11,25.0,1
139,1.0,3.0,8.0,33.0,-9.545e-10,1.039e-09,4.236e-11,25.0,1
140,1.0,3.0,8.0,36.0,-9.543000000000001e-10,1.039e-09,4.255e-11,25.0,1
141,1.0,3.0,9.0,18.0,-9.531000000000002e-10,1.04e-09,4.325e-11,25.0,1
142,1.0,3.0,9.0,21.0,-9.538e-10,1.039e-09,4.271000000000001e-11,25.0,1
143,1.0,3.0,9.0,24.0,-9.541e-10,1.039e-09,4.2450000000000006e-11,25.0,1
144,1.0,3.0,9.0,27.0,-9.543000000000001e-10,1.039e-09,4.236999999999999e-11,25.0,1
145,1.0,3.0,9.0,30.0,-9.543000000000001e-10,1.039e-09,4.236999999999999e-11,25.0,1
146,1.0,3.0,9.0,33.0,-9.542e-10,1.039e-09,4.248e-11,25.0,1
147,1.0,3.0,9.0,36.0,-9.541e-10,1.039e-09,4.2620000000000004e-11,25.0,1
148,1.0,4.0,3.0,18.0,-9.484e-10,1.0440000000000001e-09,4.797999999999999e-11,25.0,1
149,1.0,4.0,3.0,21.0,-9.483e-10,1.045e-09,4.824e-11,25.0,1
150,1.0,4.0,3.0,24.0,-9.48e-10,1.045e-09,4.8729999999999996e-11,25.0,1
151,1.0,4.0,3.0,27.0,-9.473999999999999e-10,1.046e-09,4.9369999999999993e-11,25.0,1
152,1.0,4.0,3.0,30.0,-9.468e-10,1.047e-09,5.0109999999999995e-11,25.0,1
153,1.0,4.0,3.0,33.0,-9.46e-10,1.048e-09,5.0930000000000005e-11,25.0,1
154,1.0,4.0,3.0,36.0,-9.452e-10,1.049e-09,5.18e-11,25.0,1
155,1.0,4.0,4.0,18.0,-9.496000000000001e-10,1.043e-09,4.6619999999999996e-11,25.0,1
156,1.0,4.0,4.0,21.0,-9.498e-10,1.043e-09,4.6579999999999996e-11,25.0,1
157,1.0,4.0,4.0,24.0,-9.497e-10,1.043e-09,4.679e-11,25.0,1
158,1.0,4.0,4.0,27.0,-9.494e-10,1.0440000000000001e-09,4.7149999999999994e-11,25.0,1
159,1.0,4.0,4.0,30.0,-9.49e-10,1.0440000000000001e-09,4.762e-11,25.0,1
160,1.0,4.0,4.0,33.0,-9.485e-10,1.045e-09,4.816e-11,25.0,1
161,1.0,4.0,4.0,36.0,-9.48e-10,1.045e-09,4.875e-11,25.0,1
162,1.0,4.0,5.0,18.0,-9.499e-10,1.042e-09,4.606e-11,25.0,1
163,1.0,4.0,5.0,21.0,-9.503e-10,1.042e-09,4.582999999999999e-11,25.0,1
164,1.0,4.0,5.0,24.0,-9.504e-10,1.042e-09,4.586e-11,25.0,1
165,1.0,4.0,5.0,27.0,-9.503e-10,1.042e-09,4.606e-11,25.0,1
166,1.0,4.0,5.0,30.0,-9.501e-10,1.043e-09,4.636e-11,25.0,1
167,1.0,4.0,5.0,33.0,-9.497e-10,1.043e-09,4.6750000000000007e-11,25.0,1
168,1.0,4.0,5.0,36.0,-9.494e-10,1.0440000000000001e-09,4.7159999999999995e-11,25.0,1
169,1.0,4.0,6.0,18.0,-9.5e-10,1.042e-09,4.588e-11,25.0,1
170,1.0,4.0,6.0,21.0,-9.505e-10,1.042e-09,4.554e-11,25.0,1
171,1.0,4.0,6.0,24.0,-9.507e-10,1.042e-09,4.546e-11,25.0,1
172,1.0,4.0,6.0,27.0,-9.506e-10,1.042e-09,4.554e-11,25.0,1
173,1.0,4.0,6.0,30.0,-9.505e-10,1.042e-09,4.573e-11,25.0,1
174,1.0,4.0,6.0,33.0,-9.503e-10,1.042e-09,4.599e-11,25.0,1
175,1.0,4.0,6.0,36.0,-9.5e-10,1.043e-09,4.63e-11,25.0,1
176,1.0,4.0,7.0,18.0,-9.498e-10,1.042e-09,4.590999999999999e-11,25.0,1
177,1.0,4.0,7.0,21.0,-9.504e-10,1.041e-09,4.548e-11,25.0,1
178,1.0,4.0,7.0,24.0,-9.507e-10,1.041e-09,4.5320000000000005e-11,25.0,1
179,1.0,4.0,7.0,27.0,-9.507e-10,1.041e-09,4.5320000000000005e-11,25.0,1
180,1.0,4.0,7.0,30.0,-9.506e-10,1.042e-09,4.545e-11,25.0,1
181,1.0,4.0,7.0,33.0,-9.505e-10,1.042e-09,4.563e-11,25.0,1
182,1.0,4.0,7.0,36.0,-9.503e-10,1.042e-09,4.586e-11,25.0,1
183,1.0,4.0,8.0,18.0,-9.495e-10,1.042e-09,4.6080000000000004e-11,25.0,1
184,1.0,4.0,8.0,21.0,-9.502e-10,1.041e-09,4.559000000000001e-11,25.0,1
185,1.0,4.0,8.0,24.0,-9.505e-10,1.041e-09,4.536e-11,25.0,1
186,1.0,4.0,8.0,27.0,-9.506e-10,1.041e-09,4.531e-11,25.0,1
187,1.0,4.0,8.0,30.0,-9.506e-10,1.041e-09,4.536e-11,25.0,1
188,1.0,4.0,8.0,33.0,-9.505e-10,1.041e-09,4.549e-11,25.0,1
189,1.0,4.0,8.0,36.0,-9.503e-10,1.042e-09,4.5669999999999996e-11,25.0,1
190,1.0,4.0,9.0,18.0,-9.491000000000002e-10,1.042e-09,4.6329999999999997e-11,25.0,1
191,1.0,4.0,9.0,21.0,-9.498e-10,1.041e-09,4.579e-11,25.0,1
192,1.0,4.0,9.0,24.0,-9.502e-10,1.041e-09,4.5509999999999993e-11,25.0,1
193,1.0,4.0,9.0,27.0,-9.504e-10,1.041e-09,4.54e-11,25.0,1
194,1.0,4.0,9.0,30.0,-9.504e-10,1.041e-09,4.542e-11,25.0,1
195,1.0,4.0,9.0,33.0,-9.503e-10,1.041e-09,4.5500000000000004e-11,25.0,1
196,1.0,4.0,9.0,36.0,-9.502e-10,1.041e-09,4.5640000000000003e-11,25.0,1
197,2.0,1.0,3.0,18.0,-9.593e-10,1.039e-09,3.997e-11,25.0,1
198,2.0,1.0,3.0,21.0,-9.591000000000001e-10,1.04e-09,4.028e-11,25.0,1
199,2.0,1.0,3.0,24.0,-9.587e-10,1.04e-09,4.08e-11,25.0,1
200,2.0,1.0,3.0,27.0,-9.581e-10,1.041e-09,4.1460000000000005e-11,25.0,1
201,2.0,1.0,3.0,30.0,-9.573999999999998e-10,1.042e-09,4.222999999999999e-11,25.0,1
202,2.0,1.0,3.0,33.0,-9.566000000000002e-10,1.043e-09,4.306e-11,25.0,1
203,2.0,1.0,3.0,36.0,-9.558e-10,1.0440000000000001e-09,4.392e-11,25.0,1
204,2.0,1.0,4.0,18.0,-9.589e-10,1.038e-09,3.971e-11,25.0,1
205,2.0,1.0,4.0,21.0,-9.591000000000001e-10,1.039e-09,3.973e-11,25.0,1
206,2.0,1.0,4.0,24.0,-9.589e-10,1.039e-09,4.001e-11,25.0,1
207,2.0,1.0,4.0,27.0,-9.585e-10,1.039e-09,4.042000000000001e-11,25.0,1
208,2.0,1.0,4.0,30.0,-9.58e-10,1.04e-09,4.093e-11,25.0,1
209,2.0,1.0,4.0,33.0,-9.575e-10,1.04e-09,4.15e-11,25.0,1
210,2.0,1.0,4.0,36.0,-9.568999999999999e-10,1.041e-09,4.212e-11,25.0,1
211,2.0,1.0,5.0,18.0,-9.579e-10,1.038e-09,4.018e-11,25.0,1
212,2.0,1.0,5.0,21.0,-9.582e-10,1.038e-09,4.005e-11,25.0,1
213,2.0,1.0,5.0,24.0,-9.581e-10,1.038e-09,4.018e-11,25.0,1
214,2.0,1.0,5.0,27.0,-9.579e-10,1.039e-09,4.044e-11,25.0,1
215,2.0,1.0,5.0,30.0,-9.575e-10,1.039e-09,4.08e-11,25.0,1
216,2.0,1.0,5.0,33.0,-9.571e-10,1.04e-09,4.122e-11,25.0,1
217,2.0,1.0,5.0,36.0,-9.567e-10,1.04e-09,4.169e-11,25.0,1
218,2.0,1.0,6.0,18.0,-9.565e-10,1.039e-09,4.1060000000000005e-11,25.0,1
219,2.0,1.0,6.0,21.0,-9.568999999999999e-10,1.038e-09,4.0810000000000006e-11,25.0,1
220,2.0,1.0,6.0,24.0,-9.568999999999999e-10,1.039e-09,4.0810000000000006e-11,25.0,1
221,2.0,1.0,6.0,27.0,-9.568e-10,1.039e-09,4.097e-11,25.0,1
222,2.0,1.0,6.0,30.0,-9.566000000000002e-10,1.039e-09,4.1229999999999996e-11,25.0,1
223,2.0,1.0,6.0,33.0,-9.562e-10,1.039e-09,4.157e-11,25.0,1
224,2.0,1.0,6.0,36.0,-9.559e-10,1.04e-09,4.194e-11,25.0,1
225,2.0,1.0,7.0,18.0,-9.548999999999999e-10,1.039e-09,4.215e-11,25.0,1
226,2.0,1.0,7.0,21.0,-9.553e-10,1.039e-09,4.1809999999999996e-11,25.0,1
227,2.0,1.0,7.0,24.0,-9.555e-10,1.039e-09,4.175e-11,25.0,1
228,2.0,1.0,7.0,27.0,-9.554e-10,1.039e-09,4.183e-11,25.0,1
229,2.0,1.0,7.0,30.0,-9.552000000000002e-10,1.039e-09,4.202e-11,25.0,1
