index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
40,1.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,33.0,33.0,3.895e-11,4.373e-11,4.134e-11,25.0,1
41,1.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,35.0,35.0,3.896e-11,4.381e-11,4.138e-11,25.0,1
42,1.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,37.0,37.0,3.903e-11,4.39e-11,4.147e-11,25.0,1
43,1.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,33.0,33.0,3.915e-11,4.38e-11,4.147e-11,25.0,1
44,1.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,35.0,35.0,3.915e-11,4.384e-11,4.15e-11,25.0,1
45,1.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,37.0,37.0,3.916e-11,4.39e-11,4.153e-11,25.0,1
46,1.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,33.0,33.0,3.891e-11,4.396e-11,4.144e-11,25.0,1
47,1.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,35.0,35.0,3.897e-11,4.41e-11,4.153e-11,25.0,1
48,1.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,37.0,37.0,3.906e-11,4.425e-11,4.165e-11,25.0,1
49,1.0,1.0,2.0,4.0,4.0,4.0,10.0,10.0,33.0,33.0,3.859e-11,4.35e-11,4.105e-11,25.0,1
50,1.0,1.0,2.0,4.0,4.0,4.0,10.0,10.0,35.0,35.0,3.861e-11,4.358e-11,4.11e-11,25.0,1
51,1.0,1.0,2.0,4.0,4.0,4.0,10.0,10.0,37.0,37.0,3.866e-11,4.367e-11,4.117e-11,25.0,1
52,1.0,1.0,2.0,4.0,4.0,4.0,12.0,12.0,33.0,33.0,3.86e-11,4.339e-11,4.099e-11,25.0,1
53,1.0,1.0,2.0,4.0,4.0,4.0,12.0,12.0,35.0,35.0,3.859e-11,4.344e-11,4.101e-11,25.0,1
54,1.0,1.0,2.0,4.0,4.0,4.0,12.0,12.0,37.0,37.0,3.859e-11,4.35e-11,4.104e-11,25.0,1
55,2.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,33.0,33.0,3.861e-11,3.615e-11,3.738e-11,25.0,1
56,2.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,35.0,35.0,3.871e-11,3.628e-11,3.75e-11,25.0,1
57,2.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,37.0,37.0,3.882e-11,3.645e-11,3.764e-11,25.0,1
58,2.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,33.0,33.0,3.895e-11,3.629e-11,3.762e-11,25.0,1
