index,f2,f3,f4,f5,tplh1,tphl1,tp1,tplh2,tphl2,tp2,tplh3,tphl3,tp3,tplh4,tphl4,tp4,tplh5,tphl5,tp5,tp_total,temper,alter#
60,4,9,25,88,9.188E-12,8.154E-12,8.671E-12,5.195E-12,4.877E-12,5.036E-12,4.981E-12,4.67E-12,4.825E-12,5.82E-12,5.511E-12,5.665E-12,5.74E-12,5.382E-12,5.561E-12,2.976E-11,25,1
61,4,9,29,80,9.162E-12,8.153E-12,8.658E-12,5.193E-12,4.877E-12,5.035E-12,5.428E-12,5.08E-12,5.254E-12,5.227E-12,4.99E-12,5.109E-12,5.772E-12,5.368E-12,5.57E-12,2.963E-11,25,1
62,4,9,29,84,9.191E-12,8.154E-12,8.672E-12,5.19E-12,4.873E-12,5.031E-12,5.432E-12,5.078E-12,5.255E-12,5.366E-12,5.126E-12,5.246E-12,5.675E-12,5.27E-12,5.472E-12,2.968E-11,25,1
63,4,9,29,88,9.174E-12,8.154E-12,8.664E-12,5.19E-12,4.872E-12,5.031E-12,5.432E-12,5.077E-12,5.254E-12,5.51E-12,5.259E-12,5.384E-12,5.568E-12,5.195E-12,5.381E-12,2.972E-11,25,1
64,4,7,27,80,9.219E-12,8.172E-12,8.695E-12,4.639E-12,4.337E-12,4.488E-12,5.834E-12,5.395E-12,5.615E-12,5.656E-12,5.434E-12,5.545E-12,5.916E-12,5.48E-12,5.698E-12,3.004E-11,25,1
65,4,7,27,84,9.222E-12,8.174E-12,8.698E-12,4.637E-12,4.331E-12,4.484E-12,5.831E-12,5.396E-12,5.613E-12,5.814E-12,5.582E-12,5.698E-12,5.808E-12,5.402E-12,5.605E-12,3.01E-11,25,1
66,4,7,27,88,9.219E-12,8.17E-12,8.695E-12,4.641E-12,4.33E-12,4.485E-12,5.828E-12,5.394E-12,5.611E-12,5.97E-12,5.728E-12,5.849E-12,5.719E-12,5.327E-12,5.523E-12,3.016E-11,25,1
67,4,7,25,80,9.208E-12,8.172E-12,8.69E-12,4.639E-12,4.329E-12,4.484E-12,5.553E-12,5.145E-12,5.349E-12,5.786E-12,5.545E-12,5.666E-12,5.988E-12,5.571E-12,5.779E-12,2.997E-11,25,1
68,4,7,25,84,9.204E-12,8.17E-12,8.687E-12,4.64E-12,4.329E-12,4.484E-12,5.55E-12,5.143E-12,5.347E-12,5.953E-12,5.7E-12,5.827E-12,5.888E-12,5.491E-12,5.689E-12,3.003E-11,25,1
69,4,7,25,88,9.22E-12,8.171E-12,8.696E-12,4.642E-12,4.327E-12,4.484E-12,5.546E-12,5.144E-12,5.345E-12,6.121E-12,5.857E-12,5.989E-12,5.799E-12,5.42E-12,5.61E-12,3.012E-11,25,1
70,4,7,29,80,9.219E-12,8.171E-12,8.695E-12,4.639E-12,4.336E-12,4.487E-12,6.119E-12,5.645E-12,5.882E-12,5.556E-12,5.342E-12,5.449E-12,5.847E-12,5.407E-12,5.627E-12,3.014E-11,25,1
71,4,7,29,84,9.205E-12,8.172E-12,8.689E-12,4.638E-12,4.327E-12,4.483E-12,6.117E-12,5.643E-12,5.88E-12,5.702E-12,5.484E-12,5.593E-12,5.743E-12,5.318E-12,5.531E-12,3.018E-11,25,1
72,4,7,29,88,9.221E-12,8.17E-12,8.695E-12,4.64E-12,4.325E-12,4.482E-12,6.114E-12,5.641E-12,5.877E-12,5.851E-12,5.623E-12,5.737E-12,5.65E-12,5.243E-12,5.447E-12,3.024E-11,25,1
73,4,11,27,80,9.154E-12,8.14E-12,8.647E-12,5.735E-12,5.399E-12,5.567E-12,4.861E-12,4.578E-12,4.72E-12,5.155E-12,4.874E-12,5.014E-12,5.796E-12,5.416E-12,5.606E-12,2.955E-11,25,1
74,4,11,27,84,9.152E-12,8.14E-12,8.646E-12,5.73E-12,5.399E-12,5.565E-12,4.86E-12,4.578E-12,4.719E-12,5.307E-12,5.011E-12,5.159E-12,5.692E-12,5.33E-12,5.511E-12,2.96E-11,25,1
75,4,11,27,88,9.166E-12,8.141E-12,8.654E-12,5.736E-12,5.398E-12,5.567E-12,4.86E-12,4.577E-12,4.718E-12,5.456E-12,5.147E-12,5.301E-12,5.601E-12,5.259E-12,5.43E-12,2.967E-11,25,1
76,4,11,25,80,9.154E-12,8.141E-12,8.648E-12,5.74E-12,5.402E-12,5.571E-12,4.673E-12,4.4E-12,4.536E-12,5.313E-12,5.004E-12,5.159E-12,5.884E-12,5.513E-12,5.698E-12,2.961E-11,25,1
77,4,11,25,84,9.149E-12,8.142E-12,8.645E-12,5.741E-12,5.403E-12,5.572E-12,4.671E-12,4.4E-12,4.536E-12,5.475E-12,5.149E-12,5.312E-12,5.787E-12,5.433E-12,5.61E-12,2.967E-11,25,1
78,4,11,25,88,9.166E-12,8.142E-12,8.654E-12,5.741E-12,5.401E-12,5.571E-12,4.672E-12,4.399E-12,4.536E-12,5.636E-12,5.296E-12,5.466E-12,5.703E-12,5.363E-12,5.533E-12,2.976E-11,25,1
79,4,11,29,80,9.138E-12,8.14E-12,8.639E-12,5.731E-12,5.397E-12,5.564E-12,5.055E-12,4.755E-12,4.905E-12,5.028E-12,4.765E-12,4.897E-12,5.721E-12,5.336E-12,5.529E-12,2.953E-11,25,1
80,4,11,29,84,9.165E-12,8.14E-12,8.652E-12,5.727E-12,5.395E-12,5.561E-12,5.048E-12,4.754E-12,4.901E-12,5.17E-12,4.894E-12,5.032E-12,5.614E-12,5.245E-12,5.429E-12,2.958E-11,25,1
81,4,11,29,88,9.164E-12,8.14E-12,8.652E-12,5.726E-12,5.397E-12,5.562E-12,5.047E-12,4.753E-12,4.9E-12,5.311E-12,5.024E-12,5.167E-12,5.523E-12,5.169E-12,5.346E-12,2.963E-11,25,1
