index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
52,1.0,1.0,1.0,3.0,8.0,37.0,4.414e-11,5.576e-11,4.995e-11,25.0,1
53,1.0,1.0,1.0,3.0,8.0,40.0,4.401e-11,5.582e-11,4.991e-11,25.0,1
54,1.0,1.0,1.0,3.0,8.0,43.0,4.396e-11,5.594e-11,4.995e-11,25.0,1
55,1.0,1.0,1.0,3.0,8.0,46.0,4.399e-11,5.61e-11,5.004e-11,25.0,1
56,1.0,1.0,1.0,3.0,8.0,49.0,4.407e-11,5.629e-11,5.018e-11,25.0,1
57,1.0,1.0,1.0,3.0,10.0,31.0,4.474e-11,5.583e-11,5.028e-11,25.0,1
58,1.0,1.0,1.0,3.0,10.0,34.0,4.424e-11,5.564e-11,4.994e-11,25.0,1
59,1.0,1.0,1.0,3.0,10.0,37.0,4.389e-11,5.554e-11,4.972e-11,25.0,1
60,1.0,1.0,1.0,3.0,10.0,40.0,4.368e-11,5.551e-11,4.959e-11,25.0,1
61,1.0,1.0,1.0,3.0,10.0,43.0,4.355e-11,5.554e-11,4.955e-11,25.0,1
62,1.0,1.0,1.0,3.0,10.0,46.0,4.35e-11,5.562e-11,4.956e-11,25.0,1
63,1.0,1.0,1.0,3.0,10.0,49.0,4.35e-11,5.573e-11,4.961e-11,25.0,1
64,1.0,1.0,2.0,1.0,6.0,31.0,5.396e-11,6.522e-11,5.959e-11,25.0,1
65,1.0,1.0,2.0,1.0,6.0,34.0,5.374e-11,6.531e-11,5.952e-11,25.0,1
66,1.0,1.0,2.0,1.0,6.0,37.0,5.366e-11,6.547e-11,5.957e-11,25.0,1
67,1.0,1.0,2.0,1.0,6.0,40.0,5.37e-11,6.57e-11,5.97e-11,25.0,1
68,1.0,1.0,2.0,1.0,6.0,43.0,5.383e-11,6.598e-11,5.99e-11,25.0,1
69,1.0,1.0,2.0,1.0,6.0,46.0,5.401e-11,6.63e-11,6.015e-11,25.0,1
70,1.0,1.0,2.0,1.0,6.0,49.0,5.425e-11,6.664e-11,6.045e-11,25.0,1
71,1.0,1.0,2.0,1.0,8.0,31.0,5.494e-11,6.592e-11,6.043e-11,25.0,1
72,1.0,1.0,2.0,1.0,8.0,34.0,5.458e-11,6.586e-11,6.022e-11,25.0,1
73,1.0,1.0,2.0,1.0,8.0,37.0,5.438e-11,6.589e-11,6.013e-11,25.0,1
74,1.0,1.0,2.0,1.0,8.0,40.0,5.43e-11,6.598e-11,6.014e-11,25.0,1
75,1.0,1.0,2.0,1.0,8.0,43.0,5.429e-11,6.613e-11,6.021e-11,25.0,1
76,1.0,1.0,2.0,1.0,8.0,46.0,5.436e-11,6.631e-11,6.034e-11,25.0,1
77,1.0,1.0,2.0,1.0,8.0,49.0,5.448e-11,6.653e-11,6.051e-11,25.0,1
78,1.0,1.0,2.0,1.0,10.0,31.0,5.656e-11,6.727e-11,6.192e-11,25.0,1
79,1.0,1.0,2.0,1.0,10.0,34.0,5.612e-11,6.712e-11,6.162e-11,25.0,1
80,1.0,1.0,2.0,1.0,10.0,37.0,5.583e-11,6.706e-11,6.144e-11,25.0,1
81,1.0,1.0,2.0,1.0,10.0,40.0,5.566e-11,6.707e-11,6.137e-11,25.0,1
82,1.0,1.0,2.0,1.0,10.0,43.0,5.559e-11,6.713e-11,6.136e-11,25.0,1
83,1.0,1.0,2.0,1.0,10.0,46.0,5.558e-11,6.724e-11,6.141e-11,25.0,1
84,1.0,1.0,2.0,1.0,10.0,49.0,5.564e-11,6.738e-11,6.151e-11,25.0,1
