index,f2,f3,f4,tplh1,tphl1,tp1,tplh2,tphl2,tp2,tplh3,tphl3,tp3,tplh4,tphl4,tp4,tp_total,temper,alter#
37,5,15,64,1.029E-11,9.202E-12,9.745E-12,6.248E-12,5.891E-12,6.07E-12,6.862E-12,6.417E-12,6.64E-12,7.315E-12,6.811E-12,7.063E-12,2.952E-11,25,1
38,5,15,66,1.031E-11,9.22E-12,9.764E-12,6.235E-12,5.891E-12,6.063E-12,6.988E-12,6.538E-12,6.763E-12,7.236E-12,6.75E-12,6.993E-12,2.958E-11,25,1
39,5,15,68,1.031E-11,9.221E-12,9.764E-12,6.234E-12,5.888E-12,6.061E-12,7.123E-12,6.654E-12,6.889E-12,7.157E-12,6.694E-12,6.925E-12,2.964E-11,25,1
40,5,15,70,1.031E-11,9.222E-12,9.767E-12,6.237E-12,5.887E-12,6.062E-12,7.262E-12,6.775E-12,7.019E-12,7.097E-12,6.641E-12,6.869E-12,2.972E-11,25,1
41,5,17,56,1.027E-11,9.192E-12,9.733E-12,6.684E-12,6.308E-12,6.496E-12,6.062E-12,5.699E-12,5.88E-12,7.554E-12,6.921E-12,7.237E-12,2.935E-11,25,1
42,5,17,58,1.028E-11,9.188E-12,9.732E-12,6.68E-12,6.308E-12,6.494E-12,6.183E-12,5.81E-12,5.996E-12,7.424E-12,6.832E-12,7.128E-12,2.935E-11,25,1
43,5,17,60,1.029E-11,9.192E-12,9.742E-12,6.68E-12,6.305E-12,6.492E-12,6.296E-12,5.921E-12,6.109E-12,7.313E-12,6.747E-12,7.03E-12,2.937E-11,25,1
44,5,17,62,1.027E-11,9.215E-12,9.742E-12,6.668E-12,6.302E-12,6.485E-12,6.421E-12,6.033E-12,6.227E-12,7.218E-12,6.675E-12,6.947E-12,2.94E-11,25,1
45,5,17,64,1.029E-11,9.215E-12,9.755E-12,6.665E-12,6.3E-12,6.483E-12,6.54E-12,6.143E-12,6.342E-12,7.129E-12,6.605E-12,6.867E-12,2.945E-11,25,1
46,5,17,66,1.027E-11,9.192E-12,9.732E-12,6.665E-12,6.3E-12,6.482E-12,6.659E-12,6.253E-12,6.456E-12,7.04E-12,6.541E-12,6.791E-12,2.946E-11,25,1
47,5,17,68,1.03E-11,9.211E-12,9.753E-12,6.661E-12,6.296E-12,6.478E-12,6.779E-12,6.363E-12,6.571E-12,6.966E-12,6.482E-12,6.724E-12,2.953E-11,25,1
48,5,17,70,1.029E-11,9.211E-12,9.752E-12,6.659E-12,6.296E-12,6.478E-12,6.891E-12,6.472E-12,6.682E-12,6.9E-12,6.434E-12,6.667E-12,2.958E-11,25,1
