tplh,tphl,tp,temper,alter#,m
1.518e-10,1.679e-10,1.599e-10,25.0,1,1
9.062e-11,7.844e-11,8.453e-11,25.0,1,2
6.015e-11,6.899e-11,6.457e-11,25.0,1,3
6.798e-11,6.236e-11,6.517e-11,25.0,1,4
6.325e-11,6.802e-11,6.563e-11,25.0,1,5
6.923e-11,6.415e-11,6.669e-11,25.0,1,6
6.919e-11,7.339e-11,7.129e-11,25.0,1,7
7.507e-11,7.06e-11,7.284e-11,25.0,1,8
