tplh,tphl,tp,temper,alter#,m
4.911e-11,5.592e-11,5.252e-11,25.0,1,2
4.696e-11,5.23e-11,4.963e-11,25.0,1,3
4.921e-11,5.132e-11,5.027e-11,25.0,1,4
4.866e-11,4.95e-11,4.908e-11,25.0,1,5
5.18e-11,5.053e-11,5.117e-11,25.0,1,6
5.197e-11,5.242e-11,5.22e-11,25.0,1,7
5.409e-11,5.319e-11,5.364e-11,25.0,1,8
