tplh,tphl,tp,temper,alter#,m
6.243e-11,4.715e-11,5.479e-11,25.0,1,2
4.416e-11,5.257e-11,4.837e-11,25.0,1,3
5.236e-11,4.458e-11,4.847e-11,25.0,1,4
4.537e-11,5.195e-11,4.866e-11,25.0,1,5
5.606e-11,4.706e-11,5.156e-11,25.0,1,6
4.875e-11,5.698e-11,5.286e-11,25.0,1,7
5.941e-11,5.1e-11,5.52e-11,25.0,1,8
