tplh,tphl,tp,temper,alter#,m
7.967e-11,1.039e-10,9.179e-11,25.0,1,1
7.833e-11,6.922e-11,7.378e-11,25.0,1,2
6.847e-11,7.235e-11,7.041e-11,25.0,1,3
7.162e-11,6.631e-11,6.896e-11,25.0,1,4
6.794e-11,7.199e-11,6.997e-11,25.0,1,5
8.027e-11,7.668e-11,7.848e-11,25.0,1,6
7.939e-11,8.213e-11,8.076e-11,25.0,1,7
8.351e-11,7.999e-11,8.175e-11,25.0,1,8
8.245e-11,8.585e-11,8.415e-11,25.0,1,9
