index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
56,2.0,2.0,2.0,8.0,33.0,3.579e-11,4.18e-11,3.88e-11,25.0,1
57,2.0,2.0,2.0,8.0,38.0,3.606e-11,4.22e-11,3.913e-11,25.0,1
58,2.0,2.0,2.0,11.0,28.0,3.65e-11,4.208e-11,3.929e-11,25.0,1
59,2.0,2.0,2.0,11.0,33.0,3.641e-11,4.217e-11,3.929e-11,25.0,1
60,2.0,2.0,2.0,11.0,38.0,3.652e-11,4.237e-11,3.945e-11,25.0,1
61,2.0,2.0,3.0,8.0,28.0,3.454e-11,4.107e-11,3.781e-11,25.0,1
62,2.0,2.0,3.0,8.0,33.0,3.459e-11,4.131e-11,3.795e-11,25.0,1
63,2.0,2.0,3.0,8.0,38.0,3.485e-11,4.169e-11,3.827e-11,25.0,1
64,2.0,2.0,3.0,11.0,28.0,3.469e-11,4.108e-11,3.789e-11,25.0,1
65,2.0,2.0,3.0,11.0,33.0,3.46e-11,4.113e-11,3.786e-11,25.0,1
66,2.0,2.0,3.0,11.0,38.0,3.465e-11,4.133e-11,3.799e-11,25.0,1
67,2.0,2.0,4.0,8.0,28.0,3.428e-11,4.138e-11,3.783e-11,25.0,1
68,2.0,2.0,4.0,8.0,33.0,3.433e-11,4.161e-11,3.797e-11,25.0,1
69,2.0,2.0,4.0,8.0,38.0,3.456e-11,4.199e-11,3.827e-11,25.0,1
70,2.0,2.0,4.0,11.0,28.0,3.414e-11,4.113e-11,3.763e-11,25.0,1
71,2.0,2.0,4.0,11.0,33.0,3.4e-11,4.116e-11,3.758e-11,25.0,1
72,2.0,2.0,4.0,11.0,38.0,3.406e-11,4.134e-11,3.77e-11,25.0,1
73,3.0,1.0,2.0,8.0,28.0,3.795e-11,4.392e-11,4.093e-11,25.0,1
74,3.0,1.0,2.0,8.0,33.0,3.805e-11,4.419e-11,4.112e-11,25.0,1
75,3.0,1.0,2.0,8.0,38.0,3.83e-11,4.457e-11,4.144e-11,25.0,1
76,3.0,1.0,2.0,11.0,28.0,3.875e-11,4.456e-11,4.165e-11,25.0,1
77,3.0,1.0,2.0,11.0,33.0,3.869e-11,4.464e-11,4.167e-11,25.0,1
78,3.0,1.0,2.0,11.0,38.0,3.877e-11,4.485e-11,4.181e-11,25.0,1
79,3.0,1.0,3.0,8.0,28.0,3.729e-11,4.446e-11,4.087e-11,25.0,1
80,3.0,1.0,3.0,8.0,33.0,3.735e-11,4.47e-11,4.102e-11,25.0,1
81,3.0,1.0,3.0,8.0,38.0,3.759e-11,4.506e-11,4.133e-11,25.0,1
82,3.0,1.0,3.0,11.0,28.0,3.746e-11,4.46e-11,4.103e-11,25.0,1
83,3.0,1.0,3.0,11.0,33.0,3.737e-11,4.465e-11,4.101e-11,25.0,1
84,3.0,1.0,3.0,11.0,38.0,3.743e-11,4.483e-11,4.113e-11,25.0,1
85,3.0,1.0,4.0,8.0,28.0,3.753e-11,4.58e-11,4.166e-11,25.0,1
86,3.0,1.0,4.0,8.0,33.0,3.757e-11,4.602e-11,4.18e-11,25.0,1
87,3.0,1.0,4.0,8.0,38.0,3.779e-11,4.64e-11,4.21e-11,25.0,1
88,3.0,1.0,4.0,11.0,28.0,3.742e-11,4.565e-11,4.154e-11,25.0,1
89,3.0,1.0,4.0,11.0,33.0,3.728e-11,4.567e-11,4.148e-11,25.0,1
90,3.0,1.0,4.0,11.0,38.0,3.734e-11,4.585e-11,4.16e-11,25.0,1
91,3.0,2.0,2.0,8.0,28.0,3.757e-11,4.317e-11,4.037e-11,25.0,1
92,3.0,2.0,2.0,8.0,33.0,3.766e-11,4.343e-11,4.054e-11,25.0,1
93,3.0,2.0,2.0,8.0,38.0,3.792e-11,4.383e-11,4.087e-11,25.0,1
94,3.0,2.0,2.0,11.0,28.0,3.835e-11,4.371e-11,4.103e-11,25.0,1
95,3.0,2.0,2.0,11.0,33.0,3.83e-11,4.377e-11,4.103e-11,25.0,1
96,3.0,2.0,2.0,11.0,38.0,3.839e-11,4.401e-11,4.12e-11,25.0,1
97,3.0,2.0,3.0,8.0,28.0,3.636e-11,4.265e-11,3.951e-11,25.0,1
98,3.0,2.0,3.0,8.0,33.0,3.641e-11,4.291e-11,3.966e-11,25.0,1
99,3.0,2.0,3.0,8.0,38.0,3.665e-11,4.327e-11,3.996e-11,25.0,1
100,3.0,2.0,3.0,11.0,28.0,3.65e-11,4.267e-11,3.958e-11,25.0,1
101,3.0,2.0,3.0,11.0,33.0,3.639e-11,4.273e-11,3.956e-11,25.0,1
102,3.0,2.0,3.0,11.0,38.0,3.647e-11,4.29e-11,3.969e-11,25.0,1
103,3.0,2.0,4.0,8.0,28.0,3.608e-11,4.293e-11,3.95e-11,25.0,1
104,3.0,2.0,4.0,8.0,33.0,3.611e-11,4.317e-11,3.964e-11,25.0,1
105,3.0,2.0,4.0,8.0,38.0,3.633e-11,4.353e-11,3.993e-11,25.0,1
106,3.0,2.0,4.0,11.0,28.0,3.59e-11,4.267e-11,3.929e-11,25.0,1
107,3.0,2.0,4.0,11.0,33.0,3.576e-11,4.27e-11,3.923e-11,25.0,1
108,3.0,2.0,4.0,11.0,38.0,3.582e-11,4.29e-11,3.936e-11,25.0,1
