index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,tplh,tphl,tp,temper,alter#
62,1.0,3.0,6.0,24.0,4.836e-11,3.576e-11,4.206e-11,25.0,1
63,1.0,3.0,6.0,27.0,4.839e-11,3.591e-11,4.215e-11,25.0,1
64,1.0,3.0,6.0,30.0,4.854e-11,3.618e-11,4.236e-11,25.0,1
65,1.0,3.0,6.0,33.0,4.876e-11,3.648e-11,4.262e-11,25.0,1
66,1.0,3.0,7.0,21.0,4.877e-11,3.561e-11,4.219e-11,25.0,1
67,1.0,3.0,7.0,24.0,4.853e-11,3.557e-11,4.205e-11,25.0,1
68,1.0,3.0,7.0,27.0,4.848e-11,3.563e-11,4.205e-11,25.0,1
69,1.0,3.0,7.0,30.0,4.856e-11,3.581e-11,4.219e-11,25.0,1
70,1.0,3.0,7.0,33.0,4.873e-11,3.601e-11,4.237e-11,25.0,1
71,1.0,3.0,8.0,21.0,4.916e-11,3.566e-11,4.241e-11,25.0,1
72,1.0,3.0,8.0,24.0,4.884e-11,3.555e-11,4.22e-11,25.0,1
73,1.0,3.0,8.0,27.0,4.874e-11,3.556e-11,4.215e-11,25.0,1
74,1.0,3.0,8.0,30.0,4.878e-11,3.564e-11,4.221e-11,25.0,1
75,1.0,3.0,8.0,33.0,4.89e-11,3.582e-11,4.236e-11,25.0,1
76,2.0,1.0,4.0,21.0,4.456e-11,3.49e-11,3.973e-11,25.0,1
77,2.0,1.0,4.0,24.0,4.477e-11,3.525e-11,4.001e-11,25.0,1
78,2.0,1.0,4.0,27.0,4.514e-11,3.571e-11,4.042e-11,25.0,1
79,2.0,1.0,4.0,30.0,4.56e-11,3.626e-11,4.093e-11,25.0,1
80,2.0,1.0,4.0,33.0,4.614e-11,3.686e-11,4.15e-11,25.0,1
81,2.0,1.0,5.0,21.0,4.544e-11,3.467e-11,4.005e-11,25.0,1
82,2.0,1.0,5.0,24.0,4.549e-11,3.487e-11,4.018e-11,25.0,1
83,2.0,1.0,5.0,27.0,4.573e-11,3.515e-11,4.044e-11,25.0,1
84,2.0,1.0,5.0,30.0,4.605e-11,3.555e-11,4.08e-11,25.0,1
85,2.0,1.0,5.0,33.0,4.647e-11,3.597e-11,4.122e-11,25.0,1
86,2.0,1.0,6.0,21.0,4.674e-11,3.488e-11,4.081e-11,25.0,1
87,2.0,1.0,6.0,24.0,4.667e-11,3.495e-11,4.081e-11,25.0,1
88,2.0,1.0,6.0,27.0,4.679e-11,3.516e-11,4.097e-11,25.0,1
89,2.0,1.0,6.0,30.0,4.704e-11,3.542e-11,4.123e-11,25.0,1
90,2.0,1.0,6.0,33.0,4.737e-11,3.576e-11,4.157e-11,25.0,1
91,2.0,1.0,7.0,21.0,4.828e-11,3.535e-11,4.181e-11,25.0,1
92,2.0,1.0,7.0,24.0,4.815e-11,3.535e-11,4.175e-11,25.0,1
93,2.0,1.0,7.0,27.0,4.819e-11,3.547e-11,4.183e-11,25.0,1
94,2.0,1.0,7.0,30.0,4.836e-11,3.568e-11,4.202e-11,25.0,1
95,2.0,1.0,7.0,33.0,4.862e-11,3.592e-11,4.227e-11,25.0,1
96,2.0,1.0,8.0,21.0,5.002e-11,3.598e-11,4.3e-11,25.0,1
97,2.0,1.0,8.0,24.0,4.98e-11,3.591e-11,4.286e-11,25.0,1
98,2.0,1.0,8.0,27.0,4.978e-11,3.599e-11,4.289e-11,25.0,1
99,2.0,1.0,8.0,30.0,4.99e-11,3.613e-11,4.302e-11,25.0,1
100,2.0,1.0,8.0,33.0,5.01e-11,3.634e-11,4.322e-11,25.0,1
101,2.0,2.0,4.0,21.0,4.239e-11,3.409e-11,3.824e-11,25.0,1
102,2.0,2.0,4.0,24.0,4.25e-11,3.442e-11,3.846e-11,25.0,1
103,2.0,2.0,4.0,27.0,4.28e-11,3.486e-11,3.883e-11,25.0,1
104,2.0,2.0,4.0,30.0,4.322e-11,3.54e-11,3.931e-11,25.0,1
105,2.0,2.0,4.0,33.0,4.37e-11,3.599e-11,3.985e-11,25.0,1
106,2.0,2.0,5.0,21.0,4.223e-11,3.331e-11,3.777e-11,25.0,1
107,2.0,2.0,5.0,24.0,4.219e-11,3.346e-11,3.783e-11,25.0,1
108,2.0,2.0,5.0,27.0,4.235e-11,3.377e-11,3.806e-11,25.0,1
109,2.0,2.0,5.0,30.0,4.263e-11,3.412e-11,3.837e-11,25.0,1
110,2.0,2.0,5.0,33.0,4.3e-11,3.454e-11,3.877e-11,25.0,1
111,2.0,2.0,6.0,21.0,4.246e-11,3.298e-11,3.772e-11,25.0,1
112,2.0,2.0,6.0,24.0,4.234e-11,3.304e-11,3.769e-11,25.0,1
113,2.0,2.0,6.0,27.0,4.241e-11,3.322e-11,3.781e-11,25.0,1
114,2.0,2.0,6.0,30.0,4.258e-11,3.348e-11,3.803e-11,25.0,1
115,2.0,2.0,6.0,33.0,4.286e-11,3.378e-11,3.832e-11,25.0,1
116,2.0,2.0,7.0,21.0,4.295e-11,3.293e-11,3.794e-11,25.0,1
117,2.0,2.0,7.0,24.0,4.273e-11,3.29e-11,3.782e-11,25.0,1
118,2.0,2.0,7.0,27.0,4.273e-11,3.298e-11,3.785e-11,25.0,1
119,2.0,2.0,7.0,30.0,4.285e-11,3.316e-11,3.801e-11,25.0,1
120,2.0,2.0,7.0,33.0,4.305e-11,3.341e-11,3.823e-11,25.0,1
121,2.0,2.0,8.0,21.0,4.356e-11,3.305e-11,3.83e-11,25.0,1
122,2.0,2.0,8.0,24.0,4.33e-11,3.295e-11,3.813e-11,25.0,1
123,2.0,2.0,8.0,27.0,4.325e-11,3.297e-11,3.811e-11,25.0,1
124,2.0,2.0,8.0,30.0,4.331e-11,3.309e-11,3.82e-11,25.0,1
125,2.0,2.0,8.0,33.0,4.346e-11,3.327e-11,3.837e-11,25.0,1
126,2.0,3.0,4.0,21.0,4.35e-11,3.482e-11,3.916e-11,25.0,1
127,2.0,3.0,4.0,24.0,4.358e-11,3.517e-11,3.937e-11,25.0,1
128,2.0,3.0,4.0,27.0,4.387e-11,3.562e-11,3.975e-11,25.0,1
129,2.0,3.0,4.0,30.0,4.427e-11,3.615e-11,4.021e-11,25.0,1
130,2.0,3.0,4.0,33.0,4.476e-11,3.676e-11,4.076e-11,25.0,1
131,2.0,3.0,5.0,21.0,4.301e-11,3.388e-11,3.845e-11,25.0,1
132,2.0,3.0,5.0,24.0,4.294e-11,3.404e-11,3.849e-11,25.0,1
133,2.0,3.0,5.0,27.0,4.309e-11,3.432e-11,3.871e-11,25.0,1
134,2.0,3.0,5.0,30.0,4.332e-11,3.469e-11,3.9e-11,25.0,1
135,2.0,3.0,5.0,33.0,4.368e-11,3.511e-11,3.94e-11,25.0,1
136,2.0,3.0,6.0,21.0,4.292e-11,3.341e-11,3.817e-11,25.0,1
137,2.0,3.0,6.0,24.0,4.278e-11,3.346e-11,3.812e-11,25.0,1
138,2.0,3.0,6.0,27.0,4.28e-11,3.362e-11,3.821e-11,25.0,1
139,2.0,3.0,6.0,30.0,4.294e-11,3.387e-11,3.841e-11,25.0,1
140,2.0,3.0,6.0,33.0,4.322e-11,3.417e-11,3.869e-11,25.0,1
141,2.0,3.0,7.0,21.0,4.308e-11,3.321e-11,3.814e-11,25.0,1
142,2.0,3.0,7.0,24.0,4.284e-11,3.316e-11,3.8e-11,25.0,1
143,2.0,3.0,7.0,27.0,4.281e-11,3.324e-11,3.802e-11,25.0,1
144,2.0,3.0,7.0,30.0,4.291e-11,3.341e-11,3.816e-11,25.0,1
145,2.0,3.0,7.0,33.0,4.307e-11,3.363e-11,3.835e-11,25.0,1
146,2.0,3.0,8.0,21.0,4.338e-11,3.316e-11,3.827e-11,25.0,1
147,2.0,3.0,8.0,24.0,4.308e-11,3.304e-11,3.806e-11,25.0,1
148,2.0,3.0,8.0,27.0,4.3e-11,3.306e-11,3.803e-11,25.0,1
149,2.0,3.0,8.0,30.0,4.306e-11,3.316e-11,3.811e-11,25.0,1
150,2.0,3.0,8.0,33.0,4.316e-11,3.332e-11,3.824e-11,25.0,1
151,3.0,1.0,4.0,21.0,4.714e-11,3.744e-11,4.229e-11,25.0,1
