index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
32,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,69.0,69.0,9.123e-11,9.25e-11,9.186e-11,25.0,1
33,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,71.0,71.0,9.125e-11,9.256e-11,9.19e-11,25.0,1
34,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,73.0,73.0,9.129e-11,9.261e-11,9.195e-11,25.0,1
35,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,75.0,75.0,9.133e-11,9.267e-11,9.2e-11,25.0,1
36,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,67.0,67.0,9.123e-11,9.24e-11,9.182e-11,25.0,1
37,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,69.0,69.0,9.124e-11,9.244e-11,9.184e-11,25.0,1
38,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,71.0,71.0,9.126e-11,9.249e-11,9.188e-11,25.0,1
39,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,73.0,73.0,9.128e-11,9.253e-11,9.191e-11,25.0,1
40,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,75.0,75.0,9.132e-11,9.258e-11,9.195e-11,25.0,1
41,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,67.0,67.0,9.132e-11,9.244e-11,9.188e-11,25.0,1
42,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,69.0,69.0,9.133e-11,9.247e-11,9.19e-11,25.0,1
43,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,71.0,71.0,9.135e-11,9.251e-11,9.193e-11,25.0,1
44,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,73.0,73.0,9.136e-11,9.254e-11,9.195e-11,25.0,1
45,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,75.0,75.0,9.138e-11,9.258e-11,9.198e-11,25.0,1
46,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,18.0,18.0,67.0,67.0,8.923e-11,9.001e-11,8.962e-11,25.0,1
47,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,18.0,18.0,69.0,69.0,8.926e-11,9.007e-11,8.966e-11,25.0,1
48,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,18.0,18.0,71.0,71.0,8.929e-11,9.013e-11,8.971e-11,25.0,1
49,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,18.0,18.0,73.0,73.0,8.934e-11,9.019e-11,8.976e-11,25.0,1
50,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,18.0,18.0,75.0,75.0,8.938e-11,9.026e-11,8.982e-11,25.0,1
51,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,20.0,20.0,67.0,67.0,8.943e-11,9.011e-11,8.977e-11,25.0,1
52,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,20.0,20.0,69.0,69.0,8.946e-11,9.016e-11,8.981e-11,25.0,1
53,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,20.0,20.0,71.0,71.0,8.949e-11,9.021e-11,8.985e-11,25.0,1
54,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,20.0,20.0,73.0,73.0,8.952e-11,9.026e-11,8.989e-11,25.0,1
55,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,20.0,20.0,75.0,75.0,8.956e-11,9.032e-11,8.994e-11,25.0,1
56,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,22.0,22.0,67.0,67.0,8.973e-11,9.03e-11,9.001e-11,25.0,1
57,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,22.0,22.0,69.0,69.0,8.974e-11,9.034e-11,9.004e-11,25.0,1
58,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,22.0,22.0,71.0,71.0,8.975e-11,9.037e-11,9.006e-11,25.0,1
59,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,22.0,22.0,73.0,73.0,8.977e-11,9.042e-11,9.01e-11,25.0,1
60,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,22.0,22.0,75.0,75.0,8.981e-11,9.047e-11,9.014e-11,25.0,1
61,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,18.0,18.0,67.0,67.0,8.867e-11,8.961e-11,8.914e-11,25.0,1
62,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,18.0,18.0,69.0,69.0,8.869e-11,8.967e-11,8.918e-11,25.0,1
63,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,18.0,18.0,71.0,71.0,8.873e-11,8.973e-11,8.923e-11,25.0,1
64,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,18.0,18.0,73.0,73.0,8.877e-11,8.979e-11,8.928e-11,25.0,1
65,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,18.0,18.0,75.0,75.0,8.881e-11,8.986e-11,8.933e-11,25.0,1
66,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,20.0,20.0,67.0,67.0,8.875e-11,8.961e-11,8.918e-11,25.0,1
67,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,20.0,20.0,69.0,69.0,8.877e-11,8.965e-11,8.921e-11,25.0,1
68,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,20.0,20.0,71.0,71.0,8.879e-11,8.97e-11,8.924e-11,25.0,1
69,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,20.0,20.0,73.0,73.0,8.882e-11,8.975e-11,8.928e-11,25.0,1
70,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,20.0,20.0,75.0,75.0,8.886e-11,8.98e-11,8.933e-11,25.0,1
71,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,22.0,22.0,67.0,67.0,8.891e-11,8.969e-11,8.93e-11,25.0,1
72,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,22.0,22.0,69.0,69.0,8.892e-11,8.972e-11,8.932e-11,25.0,1
73,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,22.0,22.0,71.0,71.0,8.894e-11,8.976e-11,8.935e-11,25.0,1
74,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,22.0,22.0,73.0,73.0,8.896e-11,8.98e-11,8.938e-11,25.0,1
75,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,22.0,22.0,75.0,75.0,8.898e-11,8.984e-11,8.941e-11,25.0,1
76,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,18.0,18.0,67.0,67.0,8.85e-11,8.957e-11,8.904e-11,25.0,1
77,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,18.0,18.0,69.0,69.0,8.853e-11,8.962e-11,8.908e-11,25.0,1
78,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,18.0,18.0,71.0,71.0,8.857e-11,8.968e-11,8.912e-11,25.0,1
79,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,18.0,18.0,73.0,73.0,8.859e-11,8.974e-11,8.917e-11,25.0,1
80,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,18.0,18.0,75.0,75.0,8.863e-11,8.981e-11,8.922e-11,25.0,1
81,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,20.0,20.0,67.0,67.0,8.851e-11,8.949e-11,8.9e-11,25.0,1
82,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,20.0,20.0,69.0,69.0,8.852e-11,8.953e-11,8.903e-11,25.0,1
83,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,20.0,20.0,71.0,71.0,8.854e-11,8.958e-11,8.906e-11,25.0,1
84,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,20.0,20.0,73.0,73.0,8.857e-11,8.963e-11,8.91e-11,25.0,1
85,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,20.0,20.0,75.0,75.0,8.86e-11,8.968e-11,8.914e-11,25.0,1
86,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,22.0,22.0,67.0,67.0,8.858e-11,8.949e-11,8.904e-11,25.0,1
87,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,6.0,6.0,22.0,22.0,69.0,69.0,8.859e-11,8.953e-11,8.906e-11,25.0,1
