index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,sn_buffer_4,sp_buffer_4,tplh,tphl,tp,temper,alter#
29,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,22.0,22.0,75.0,75.0,5.863e-11,4.917e-11,5.39e-11,25.0,1
30,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,22.0,22.0,79.0,79.0,5.869e-11,4.926e-11,5.398e-11,25.0,1
31,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,24.0,24.0,71.0,71.0,5.871e-11,4.913e-11,5.392e-11,25.0,1
32,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,24.0,24.0,75.0,75.0,5.874e-11,4.92e-11,5.397e-11,25.0,1
33,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,24.0,24.0,79.0,79.0,5.878e-11,4.928e-11,5.403e-11,25.0,1
34,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,26.0,26.0,71.0,71.0,5.889e-11,4.924e-11,5.406e-11,25.0,1
35,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,26.0,26.0,75.0,75.0,5.889e-11,4.929e-11,5.409e-11,25.0,1
36,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,6.0,26.0,26.0,79.0,79.0,5.893e-11,4.936e-11,5.414e-11,25.0,1
37,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,22.0,22.0,71.0,71.0,5.847e-11,4.911e-11,5.379e-11,25.0,1
38,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,22.0,22.0,75.0,75.0,5.851e-11,4.919e-11,5.385e-11,25.0,1
39,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,22.0,22.0,79.0,79.0,5.856e-11,4.929e-11,5.393e-11,25.0,1
40,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,24.0,24.0,71.0,71.0,5.853e-11,4.912e-11,5.382e-11,25.0,1
41,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,24.0,24.0,75.0,75.0,5.856e-11,4.918e-11,5.387e-11,25.0,1
42,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,24.0,24.0,79.0,79.0,5.86e-11,4.926e-11,5.393e-11,25.0,1
43,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,26.0,26.0,71.0,71.0,5.864e-11,4.917e-11,5.391e-11,25.0,1
44,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,26.0,26.0,75.0,75.0,5.866e-11,4.922e-11,5.394e-11,25.0,1
45,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,7.0,26.0,26.0,79.0,79.0,5.868e-11,4.929e-11,5.399e-11,25.0,1
46,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,22.0,22.0,71.0,71.0,5.852e-11,4.929e-11,5.391e-11,25.0,1
47,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,22.0,22.0,75.0,75.0,5.855e-11,4.937e-11,5.396e-11,25.0,1
48,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,22.0,22.0,79.0,79.0,5.861e-11,4.946e-11,5.404e-11,25.0,1
49,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,24.0,24.0,71.0,71.0,5.855e-11,4.926e-11,5.39e-11,25.0,1
50,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,24.0,24.0,75.0,75.0,5.856e-11,4.932e-11,5.394e-11,25.0,1
51,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,24.0,24.0,79.0,79.0,5.861e-11,4.94e-11,5.4e-11,25.0,1
52,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,26.0,26.0,71.0,71.0,5.862e-11,4.928e-11,5.395e-11,25.0,1
53,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,26.0,26.0,75.0,75.0,5.862e-11,4.933e-11,5.397e-11,25.0,1
54,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,8.0,26.0,26.0,79.0,79.0,5.864e-11,4.938e-11,5.401e-11,25.0,1
55,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,22.0,22.0,71.0,71.0,5.867e-11,4.9e-11,5.384e-11,25.0,1
56,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,22.0,22.0,75.0,75.0,5.872e-11,4.909e-11,5.39e-11,25.0,1
57,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,22.0,22.0,79.0,79.0,5.877e-11,4.918e-11,5.398e-11,25.0,1
58,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,24.0,24.0,71.0,71.0,5.879e-11,4.904e-11,5.392e-11,25.0,1
59,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,24.0,24.0,75.0,75.0,5.882e-11,4.911e-11,5.396e-11,25.0,1
60,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,24.0,24.0,79.0,79.0,5.887e-11,4.919e-11,5.403e-11,25.0,1
61,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,26.0,26.0,71.0,71.0,5.896e-11,4.913e-11,5.405e-11,25.0,1
62,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,26.0,26.0,75.0,75.0,5.897e-11,4.919e-11,5.408e-11,25.0,1
63,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,26.0,26.0,79.0,79.0,5.9e-11,4.926e-11,5.413e-11,25.0,1
64,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,22.0,22.0,71.0,71.0,5.838e-11,4.882e-11,5.36e-11,25.0,1
65,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,22.0,22.0,75.0,75.0,5.841e-11,4.891e-11,5.366e-11,25.0,1
66,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,22.0,22.0,79.0,79.0,5.846e-11,4.9e-11,5.373e-11,25.0,1
67,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,24.0,24.0,71.0,71.0,5.843e-11,4.881e-11,5.362e-11,25.0,1
68,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,24.0,24.0,75.0,75.0,5.845e-11,4.888e-11,5.367e-11,25.0,1
69,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,24.0,24.0,79.0,79.0,5.849e-11,4.896e-11,5.373e-11,25.0,1
70,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,26.0,26.0,71.0,71.0,5.853e-11,4.885e-11,5.369e-11,25.0,1
71,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,26.0,26.0,75.0,75.0,5.854e-11,4.891e-11,5.372e-11,25.0,1
72,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,7.0,26.0,26.0,79.0,79.0,5.858e-11,4.897e-11,5.377e-11,25.0,1
73,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,22.0,22.0,71.0,71.0,5.825e-11,4.88e-11,5.352e-11,25.0,1
74,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,22.0,22.0,75.0,75.0,5.828e-11,4.888e-11,5.358e-11,25.0,1
75,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,22.0,22.0,79.0,79.0,5.833e-11,4.897e-11,5.365e-11,25.0,1
76,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,24.0,24.0,71.0,71.0,5.827e-11,4.875e-11,5.351e-11,25.0,1
77,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,24.0,24.0,75.0,75.0,5.828e-11,4.882e-11,5.355e-11,25.0,1
78,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,24.0,24.0,79.0,79.0,5.832e-11,4.889e-11,5.361e-11,25.0,1
79,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,26.0,26.0,71.0,71.0,5.833e-11,4.876e-11,5.354e-11,25.0,1
80,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,26.0,26.0,75.0,75.0,5.833e-11,4.88e-11,5.357e-11,25.0,1
81,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,8.0,8.0,26.0,26.0,79.0,79.0,5.835e-11,4.887e-11,5.361e-11,25.0,1
82,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,22.0,22.0,71.0,71.0,6.163e-11,5.241e-11,5.702e-11,25.0,1
83,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,22.0,22.0,75.0,75.0,6.166e-11,5.25e-11,5.708e-11,25.0,1
84,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,22.0,22.0,79.0,79.0,6.172e-11,5.259e-11,5.715e-11,25.0,1
85,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,24.0,24.0,71.0,71.0,6.176e-11,5.25e-11,5.713e-11,25.0,1
86,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,24.0,24.0,75.0,75.0,6.179e-11,5.257e-11,5.718e-11,25.0,1
87,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,24.0,24.0,79.0,79.0,6.183e-11,5.264e-11,5.723e-11,25.0,1
88,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,26.0,26.0,71.0,71.0,6.195e-11,5.263e-11,5.729e-11,25.0,1
89,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,26.0,26.0,75.0,75.0,6.197e-11,5.268e-11,5.733e-11,25.0,1
90,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,26.0,26.0,79.0,79.0,6.199e-11,5.275e-11,5.737e-11,25.0,1
91,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,22.0,22.0,71.0,71.0,6.207e-11,5.308e-11,5.757e-11,25.0,1
92,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,22.0,22.0,75.0,75.0,6.211e-11,5.315e-11,5.763e-11,25.0,1
93,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,22.0,22.0,79.0,79.0,6.216e-11,5.325e-11,5.77e-11,25.0,1
94,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,24.0,24.0,71.0,71.0,6.216e-11,5.312e-11,5.764e-11,25.0,1
95,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,24.0,24.0,75.0,75.0,6.218e-11,5.318e-11,5.768e-11,25.0,1
96,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,24.0,24.0,79.0,79.0,6.222e-11,5.326e-11,5.774e-11,25.0,1
97,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,26.0,26.0,71.0,71.0,6.229e-11,5.32e-11,5.775e-11,25.0,1
98,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,26.0,26.0,75.0,75.0,6.23e-11,5.325e-11,5.777e-11,25.0,1
99,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,26.0,26.0,79.0,79.0,6.233e-11,5.331e-11,5.782e-11,25.0,1
