index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,sn_buffer_4,sp_buffer_4,tplh,tphl,tp,temper,alter#
1111,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,24.0,24.0,71.0,71.0,5.348e-11,4.875e-11,5.112e-11,25.0,1
1112,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,24.0,24.0,75.0,75.0,5.35e-11,4.882e-11,5.116e-11,25.0,1
1113,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,24.0,24.0,79.0,79.0,5.354e-11,4.89e-11,5.122e-11,25.0,1
1114,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,26.0,26.0,71.0,71.0,5.364e-11,4.885e-11,5.124e-11,25.0,1
1115,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,26.0,26.0,75.0,75.0,5.366e-11,4.89e-11,5.128e-11,25.0,1
1116,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,26.0,26.0,79.0,79.0,5.369e-11,4.897e-11,5.133e-11,25.0,1
1117,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,22.0,22.0,71.0,71.0,5.304e-11,4.852e-11,5.078e-11,25.0,1
1118,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,22.0,22.0,75.0,75.0,5.306e-11,4.86e-11,5.083e-11,25.0,1
1119,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,22.0,22.0,79.0,79.0,5.312e-11,4.87e-11,5.091e-11,25.0,1
1120,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,24.0,24.0,71.0,71.0,5.309e-11,4.851e-11,5.08e-11,25.0,1
1121,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,24.0,24.0,75.0,75.0,5.311e-11,4.858e-11,5.084e-11,25.0,1
1122,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,24.0,24.0,79.0,79.0,5.315e-11,4.866e-11,5.09e-11,25.0,1
1123,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,26.0,26.0,71.0,71.0,5.319e-11,4.855e-11,5.087e-11,25.0,1
1124,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,26.0,26.0,75.0,75.0,5.321e-11,4.861e-11,5.091e-11,25.0,1
1125,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,7.0,26.0,26.0,79.0,79.0,5.323e-11,4.867e-11,5.095e-11,25.0,1
1126,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,22.0,22.0,71.0,71.0,5.288e-11,4.848e-11,5.068e-11,25.0,1
1127,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,22.0,22.0,75.0,75.0,5.291e-11,4.857e-11,5.074e-11,25.0,1
1128,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,22.0,22.0,79.0,79.0,5.297e-11,4.866e-11,5.081e-11,25.0,1
1129,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,24.0,24.0,71.0,71.0,5.29e-11,4.844e-11,5.067e-11,25.0,1
1130,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,24.0,24.0,75.0,75.0,5.292e-11,4.85e-11,5.071e-11,25.0,1
1131,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,24.0,24.0,79.0,79.0,5.295e-11,4.858e-11,5.077e-11,25.0,1
1132,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,26.0,26.0,71.0,71.0,5.296e-11,4.844e-11,5.07e-11,25.0,1
1133,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,26.0,26.0,75.0,75.0,5.297e-11,4.849e-11,5.073e-11,25.0,1
1134,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,8.0,8.0,26.0,26.0,79.0,79.0,5.299e-11,4.856e-11,5.077e-11,25.0,1
1135,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,22.0,22.0,71.0,71.0,6.308e-11,5.752e-11,6.03e-11,25.0,1
1136,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,22.0,22.0,75.0,75.0,6.313e-11,5.76e-11,6.036e-11,25.0,1
1137,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,22.0,22.0,79.0,79.0,6.319e-11,5.769e-11,6.044e-11,25.0,1
1138,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,24.0,24.0,71.0,71.0,6.323e-11,5.76e-11,6.042e-11,25.0,1
1139,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,24.0,24.0,75.0,75.0,6.326e-11,5.767e-11,6.046e-11,25.0,1
1140,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,24.0,24.0,79.0,79.0,6.33e-11,5.775e-11,6.052e-11,25.0,1
1141,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,26.0,26.0,71.0,71.0,6.341e-11,5.774e-11,6.058e-11,25.0,1
1142,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,26.0,26.0,75.0,75.0,6.342e-11,5.779e-11,6.061e-11,25.0,1
1143,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,26.0,26.0,79.0,79.0,6.346e-11,5.785e-11,6.066e-11,25.0,1
1144,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,22.0,22.0,71.0,71.0,6.354e-11,5.818e-11,6.086e-11,25.0,1
1145,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,22.0,22.0,75.0,75.0,6.358e-11,5.826e-11,6.092e-11,25.0,1
1146,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,22.0,22.0,79.0,79.0,6.363e-11,5.835e-11,6.099e-11,25.0,1
1147,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,24.0,24.0,71.0,71.0,6.363e-11,5.822e-11,6.092e-11,25.0,1
1148,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,24.0,24.0,75.0,75.0,6.365e-11,5.828e-11,6.096e-11,25.0,1
1149,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,24.0,24.0,79.0,79.0,6.368e-11,5.836e-11,6.102e-11,25.0,1
1150,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,26.0,26.0,71.0,71.0,6.376e-11,5.831e-11,6.103e-11,25.0,1
1151,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,26.0,26.0,75.0,75.0,6.376e-11,5.836e-11,6.106e-11,25.0,1
1152,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,26.0,26.0,79.0,79.0,6.379e-11,5.841e-11,6.11e-11,25.0,1
1153,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,22.0,22.0,71.0,71.0,6.416e-11,5.9e-11,6.158e-11,25.0,1
1154,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,22.0,22.0,75.0,75.0,6.419e-11,5.908e-11,6.163e-11,25.0,1
1155,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,22.0,22.0,79.0,79.0,6.424e-11,5.917e-11,6.17e-11,25.0,1
1156,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,24.0,24.0,71.0,71.0,6.421e-11,5.901e-11,6.161e-11,25.0,1
1157,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,24.0,24.0,75.0,75.0,6.422e-11,5.906e-11,6.164e-11,25.0,1
1158,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,24.0,24.0,79.0,79.0,6.426e-11,5.914e-11,6.17e-11,25.0,1
1159,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,26.0,26.0,71.0,71.0,6.43e-11,5.905e-11,6.167e-11,25.0,1
1160,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,26.0,26.0,75.0,75.0,6.43e-11,5.91e-11,6.17e-11,25.0,1
1161,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,26.0,26.0,79.0,79.0,6.433e-11,5.916e-11,6.174e-11,25.0,1
1162,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,22.0,22.0,71.0,71.0,6.076e-11,5.462e-11,5.769e-11,25.0,1
1163,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,22.0,22.0,75.0,75.0,6.08e-11,5.47e-11,5.775e-11,25.0,1
1164,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,22.0,22.0,79.0,79.0,6.085e-11,5.48e-11,5.783e-11,25.0,1
1165,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,24.0,24.0,71.0,71.0,6.088e-11,5.467e-11,5.778e-11,25.0,1
1166,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,24.0,24.0,75.0,75.0,6.091e-11,5.475e-11,5.783e-11,25.0,1
1167,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,24.0,24.0,79.0,79.0,6.095e-11,5.483e-11,5.789e-11,25.0,1
