index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
32,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,15.0,15.0,65.0,65.0,4.98e-11,5.903e-11,5.441e-11,25.0,1
33,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,15.0,15.0,67.0,67.0,4.984e-11,5.91e-11,5.447e-11,25.0,1
34,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,15.0,15.0,69.0,69.0,4.988e-11,5.918e-11,5.453e-11,25.0,1
35,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,15.0,15.0,71.0,71.0,4.994e-11,5.926e-11,5.46e-11,25.0,1
36,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,17.0,17.0,63.0,63.0,4.965e-11,5.877e-11,5.421e-11,25.0,1
37,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,17.0,17.0,65.0,65.0,4.967e-11,5.881e-11,5.424e-11,25.0,1
38,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,17.0,17.0,67.0,67.0,4.97e-11,5.887e-11,5.428e-11,25.0,1
39,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,17.0,17.0,69.0,69.0,4.973e-11,5.893e-11,5.433e-11,25.0,1
40,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,17.0,17.0,71.0,71.0,4.976e-11,5.899e-11,5.438e-11,25.0,1
41,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,19.0,19.0,63.0,63.0,4.966e-11,5.87e-11,5.418e-11,25.0,1
42,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,19.0,19.0,65.0,65.0,4.967e-11,5.874e-11,5.42e-11,25.0,1
43,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,19.0,19.0,67.0,67.0,4.968e-11,5.878e-11,5.423e-11,25.0,1
44,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,19.0,19.0,69.0,69.0,4.97e-11,5.882e-11,5.426e-11,25.0,1
45,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,19.0,19.0,71.0,71.0,4.972e-11,5.887e-11,5.43e-11,25.0,1
46,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,15.0,15.0,63.0,63.0,4.758e-11,5.655e-11,5.207e-11,25.0,1
47,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,15.0,15.0,65.0,65.0,4.763e-11,5.662e-11,5.212e-11,25.0,1
48,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,15.0,15.0,67.0,67.0,4.767e-11,5.67e-11,5.218e-11,25.0,1
49,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,15.0,15.0,69.0,69.0,4.772e-11,5.678e-11,5.225e-11,25.0,1
50,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,15.0,15.0,71.0,71.0,4.778e-11,5.687e-11,5.232e-11,25.0,1
51,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,17.0,17.0,63.0,63.0,4.766e-11,5.65e-11,5.208e-11,25.0,1
52,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,17.0,17.0,65.0,65.0,4.768e-11,5.656e-11,5.212e-11,25.0,1
53,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,17.0,17.0,67.0,67.0,4.771e-11,5.661e-11,5.216e-11,25.0,1
54,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,17.0,17.0,69.0,69.0,4.775e-11,5.668e-11,5.221e-11,25.0,1
55,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,17.0,17.0,71.0,71.0,4.779e-11,5.674e-11,5.227e-11,25.0,1
56,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,19.0,19.0,63.0,63.0,4.785e-11,5.658e-11,5.221e-11,25.0,1
57,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,19.0,19.0,65.0,65.0,4.786e-11,5.662e-11,5.224e-11,25.0,1
